REF_DATE,GEO,DGUID,Statistic,"Food expenditures, summary-level categories",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2013,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,81,units ,0,v54531258,1.1.1,7934,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,81,units ,0,v54531258,1.1.1,8109,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,81,units ,0,v54531258,1.1.1,8629,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,81,units ,0,v54531258,1.1.1,8784,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,81,units ,0,v54531258,1.1.1,8527,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,81,units ,0,v54531259,1.1.2,5718,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,81,units ,0,v54531259,1.1.2,5880,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,81,units ,0,v54531259,1.1.2,6126,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,81,units ,0,v54531259,1.1.2,6176,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,81,units ,0,v54531259,1.1.2,5934,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Bakery products,Dollars,81,units ,0,v54531260,1.1.3,567,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Bakery products,Dollars,81,units ,0,v54531260,1.1.3,562,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Bakery products,Dollars,81,units ,0,v54531260,1.1.3,574,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Bakery products,Dollars,81,units ,0,v54531260,1.1.3,578,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Bakery products,Dollars,81,units ,0,v54531260,1.1.3,563,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Cereal grains and cereal products,Dollars,81,units ,0,v54531266,1.1.9,320,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Cereal grains and cereal products,Dollars,81,units ,0,v54531266,1.1.9,327,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Cereal grains and cereal products,Dollars,81,units ,0,v54531266,1.1.9,341,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Cereal grains and cereal products,Dollars,81,units ,0,v54531266,1.1.9,347,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Cereal grains and cereal products,Dollars,81,units ,0,v54531266,1.1.9,321,,,,0
2013,Canada,2016A000011124,Average expenditure per household,"Fruit, fruit preparations and nuts",Dollars,81,units ,0,v54531279,1.1.22,698,,,,0
2014,Canada,2016A000011124,Average expenditure per household,"Fruit, fruit preparations and nuts",Dollars,81,units ,0,v54531279,1.1.22,719,,,,0
2015,Canada,2016A000011124,Average expenditure per household,"Fruit, fruit preparations and nuts",Dollars,81,units ,0,v54531279,1.1.22,755,,,,0
2016,Canada,2016A000011124,Average expenditure per household,"Fruit, fruit preparations and nuts",Dollars,81,units ,0,v54531279,1.1.22,781,,,,0
2017,Canada,2016A000011124,Average expenditure per household,"Fruit, fruit preparations and nuts",Dollars,81,units ,0,v54531279,1.1.22,731,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Vegetables and vegetable preparations,Dollars,81,units ,0,v54531311,1.1.54,652,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Vegetables and vegetable preparations,Dollars,81,units ,0,v54531311,1.1.54,675,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Vegetables and vegetable preparations,Dollars,81,units ,0,v54531311,1.1.54,710,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Vegetables and vegetable preparations,Dollars,81,units ,0,v54531311,1.1.54,718,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Vegetables and vegetable preparations,Dollars,81,units ,0,v54531311,1.1.54,702,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Dairy products and eggs,Dollars,81,units ,0,v54531338,1.1.81,876,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Dairy products and eggs,Dollars,81,units ,0,v54531338,1.1.81,864,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Dairy products and eggs,Dollars,81,units ,0,v54531338,1.1.81,903,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Dairy products and eggs,Dollars,81,units ,0,v54531338,1.1.81,888,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Dairy products and eggs,Dollars,81,units ,0,v54531338,1.1.81,839,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Meat,Dollars,81,units ,0,v54531350,1.1.93,1044,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Meat,Dollars,81,units ,0,v54531350,1.1.93,1182,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Meat,Dollars,81,units ,0,v54531350,1.1.93,1194,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Meat,Dollars,81,units ,0,v54531350,1.1.93,1163,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Meat,Dollars,81,units ,0,v54531350,1.1.93,1109,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Fish and seafood,Dollars,81,units ,0,v54531363,1.1.106,200,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Fish and seafood,Dollars,81,units ,0,v54531363,1.1.106,211,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Fish and seafood,Dollars,81,units ,0,v54531363,1.1.106,213,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Fish and seafood,Dollars,81,units ,0,v54531363,1.1.106,203,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Fish and seafood,Dollars,81,units ,0,v54531363,1.1.106,219,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Non-alcoholic beverages and other food products,Dollars,81,units ,0,v54531378,1.1.121,1362,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Non-alcoholic beverages and other food products,Dollars,81,units ,0,v54531378,1.1.121,1342,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Non-alcoholic beverages and other food products,Dollars,81,units ,0,v54531378,1.1.121,1437,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Non-alcoholic beverages and other food products,Dollars,81,units ,0,v54531378,1.1.121,1499,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Non-alcoholic beverages and other food products,Dollars,81,units ,0,v54531378,1.1.121,1451,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,81,units ,0,v54531434,1.1.177,2216,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,81,units ,0,v54531434,1.1.177,2229,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,81,units ,0,v54531434,1.1.177,2502,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,81,units ,0,v54531434,1.1.177,2608,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,81,units ,0,v54531434,1.1.177,2593,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Restaurant meals,Dollars,81,units ,0,v54531435,1.1.178,1963,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Restaurant meals,Dollars,81,units ,0,v54531435,1.1.178,1959,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Restaurant meals,Dollars,81,units ,0,v54531435,1.1.178,2222,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Restaurant meals,Dollars,81,units ,0,v54531435,1.1.178,2303,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Restaurant meals,Dollars,81,units ,0,v54531435,1.1.178,2272,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Restaurant snacks and beverages,Dollars,81,units ,0,v54531436,1.1.179,253,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Restaurant snacks and beverages,Dollars,81,units ,0,v54531436,1.1.179,270,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Restaurant snacks and beverages,Dollars,81,units ,0,v54531436,1.1.179,281,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Restaurant snacks and beverages,Dollars,81,units ,0,v54531436,1.1.179,305,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Restaurant snacks and beverages,Dollars,81,units ,0,v54531436,1.1.179,321,,,,0
